DOI	AFF	INST	Title	NAT
10.1016/j.marpolbul.2019.110701	{Chile, Ecuador}	{Facultad de Ciencias Médicas. Universidad Espíritu Santo, Ecuador; Instituto Milenio de Oceanografía, Universidad de Concepción, Concepción, Chile; Facultad de Ciencias Médicas. Universidad de Guayaquil, Guayaquil, Ecuador; Departamento de Genética Molecular y Microbiología. Facultad de Ciencias Biológicas. Pontificia Universidad Católica de Chile, Santiago, Chile; Centro GEMA- Genómica, Ecología y Medio Ambiente. Facultad de Ciencias. Universidad Mayor, Chile}	Detection of sentinel bacteria in mangrove sediments contaminated with heavy metals.	3
10.1002/nme.6304	{United States, Italy, Chile}	{Department of Mechanical Engineering, Universidad de Chile, Santiago, Chile; Computational and Applied Mechanics Laboratory, Center for Modern Computational Engineering, Facultad de Ciencias Físicas y Matemáticas, Universidad de Chile, Santiago, Chile; Department of Mechanical Engineering, Universidad de La Serena, La Serena, Chile; Department of Civil and Environmental Engineering, University of California, Davis, CA, United States; Department of Civil Engineering and Computer Science, University of Rome Tor Vergata, Rome, Italy; Department of Computer Science, Universidad de Chile, Santiago, Chile; Meshing for Applied Science Laboratory, Center for Modern Computational Engineering, Facultad de Ciencias Físicas y Matemáticas, Universidad de Chile, Santiago, Chile}	A nodal integration scheme for meshfree Galerkin methods using the virtual element decomposition	5
