;N;Funding Year;Progress report;Name of Research Line;Research Lines;Lines Collaboration;Year Published;CR2 Authors;Authors;Issue;Volume;First page;Last page;Article Title;Journal;Volume Issue;Pages;CR2;NO RESEARCHERS;Researchers;Principal Researchers;Full time Researchers;Associate Researchers;Adjoint Researchers;Postdoc;Undergraduated Students;Graduated Students;REGIONAL;FONDECYT;FONDEF;PIA;FONDAP;PAI;EXPLORA;International Cooperation;Astronomia;Becas (PCHA);OTHER (specify);SPECIFY;Journal Name;ISSN;Name Check;Sub Category;Journal Rank;% Journal Rank;Is it top 10 in category;Journal Impact Factor;5 year Journal Impact Factor;Scimago Quartile;Copy for Cites Title;DOI;DOI WOS;WOS Title;Total Citations 2017;Total Citations;Average per Year;c2012;c2013;c2014;c2015;c2016;c2017;c2018;c2019;c2020;c2021;c2022;DOI AFF;AFF Countries;AFF Institutions;TI WOS;Control doi diff;Int collaboration;Nat collab;N° collaboration national WOS;N° collaboration national SCOPUS;File
0;;2020;8;;;;2020;Raúl Valenzuela;"Silva‐Valenzuela, R.; Ortiz‐Bernardin, A.; Sukumar, N.; Artioli, E.; Hitschfeld‐Kahler, N.";nan;nan;nme.6304;nme.6304;A nodal integration scheme for meshfree Galerkin methods using the virtual element decomposition;International Journal for Numerical Methods in Engineering;;nme.6304;;;;;;;;;;;;;;;;;;;;;;;International Journal for Numerical Methods in Engineering;0029-5981, 1097-0207;;;;;;;;;A nodal integration scheme for meshfree Galerkin methods using the virtual element decomposition;10.1002/nme.6304;;;;;;;;;;;;;;;;;;;;;;;;;;/home/nvaldebenito/Documentos/cr2articles_zotero/Artículo de revista académica/2020/Silva‐Valenzuela et al_2020_A nodal integration scheme for meshfree Galerkin methods using the virtual.pdf
1;;2020;8;;;;2020;;"Fernández-Cadena, J.C.; Ruíz-Fernández, P.S.; Fernández-Ronquillo, T.E.; Díez, B.; Trefault, N.; Andrade, S.; De la Iglesia, R.";nan;150.0;110701;110701;Detection of sentinel bacteria in mangrove sediments contaminated with heavy metals.;Marine Pollution Bulletin;150.0;110701;;;;;;;;;;;;;;;;;;;;;;;Marine Pollution Bulletin;0025326X;;;;;;;;;Detection of sentinel bacteria in mangrove sediments contaminated with heavy metals.;10.1016/j.marpolbul.2019.110701;;;;;;;;;;;;;;;;;;;;;;;;;;
