N;Funding Year;Progress report;Name of Research Line;Research Lines;Lines Collaboration;Year Published;CR2 Authors;Authors;Issue;Volume;First page;Last page;Article Title;Journal;Volume Issue;Pages;CR2;NO RESEARCHERS;Researchers;Principal Researchers;Full time Researchers;Associate Researchers;Adjoint Researchers;Postdoc;Undergraduated Students;Graduated Students;REGIONAL;FONDECYT;FONDEF;PIA;FONDAP;PAI;EXPLORA;International Cooperation;Astronomia;Becas (PCHA);OTHER (specify);SPECIFY;Journal Name;ISSN;Name Check;Sub Category;Journal Rank;% Journal Rank;Is it top 10 in category;Journal Impact Factor;5 year Journal Impact Factor;Scimago Quartile;Copy for Cites Title;DOI;DOI WOS;WOS Title;Total Citations 2017;Total Citations;Average per Year;c2012;c2013;c2014;c2015;c2016;c2017;c2018;c2019;c2020;c2021;c2022;DOI AFF;AFF Countries;AFF Institutions;TI WOS;Control doi diff;Int collaboration;Nat collab;N° collaboration national WOS;N° collaboration national SCOPUS;File
269.0;2018;6;Ciudades Resilientes;Ciudades;1.0;2018.0;;Santoro, C.M., Castro, V., Capriles, J.M., Barraza, J., Correa, J., Marquet, P.A., McRostie, V., Gayo, E.M., Latorre, C., Valenzuela, D., Uribe, M., de Porras, M.E., Standen, V.G., Angelo, D., Maldonado, A., Hamame, E., Jofre, D.;;;;;"Acta de Tarapacá: ""Pueblo sin Agua, Pueblo Muerto""";Chungará (Arica);Vol.50 is.2;-;1.0;0;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;30;0.0;;10;;;;;;40;PIA;Chungará (Arica);0717-7356;CHUNGARA;Anthropology;53/85;62,35%;0.0;0,856;0,212;Q3;"Acta de Tarapacá: ""Pueblo sin Agua, Pueblo Muerto""";10.4067/S0717-73562018000200169;10.4067/S0717-73562018000200169;THE TARAPACA DECLARATION: A WATERLESS PEOPLE IS A DEAD PEOPLE;;2.0;0,67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;;;10.4067/S0717-73562018000200169;{United States, Argentina, Chile};"{Instituto de Alta Investigación, Universidad de Tarapacá, Arica, Chile; Departamento de Antropología, Universidad de Chile, Santiago, Chile; Departamento de Antropología, Universidad Alberto Hurtado, Santiago, Chile; Department of Anthropology, The Pennsylvania State University, University Park, United States; Departamento de Ecología, Pontificia Universidad Católica de Chile, Santiago, Chile; Laboratorio Internacional en Cambio Global (LINCGlobal), Pontificia Universidad Católica de Chile, Santiago, Chile; Instituto de Ecología y Biodiversidad (IEB), Santiago, Chile; Departamento de Antropología, Pontificia Universidad Católica de Chile, Santiago, Chile; Centro UC Desierto de Atacama, Pontificia Universidad Católica de Chile, Santiago, Chile; Center for Climate and Resilience Research (CR)2, Laboratory for Stable Isotope Biogeochemistry, Universidad de Concepción, Chile; Departamento de Antropología, Universidad de Tarapacá, Arica, Chile; Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales (IANIGLA - CCT CONICET Mendoza), Argentina; Centro de Estudios Avanzados en Zonas áridas (CEAZA), Universidad de La Serena, La Serena, Chile; Escuela de Ciencia Política, Instituto Ciencias Sociales, Universidad Diego Portales, Santiago, Chile; Departamento de Antropología, Universidad Católica de Temuco, Chile}";"The tarapacá declaration: ""A waterless people is a dead people"" [Acta de tarapacá: ""Pueblo sin agua, pueblo muerto""]";TRUE;1.0;1.0;14;13.0;
270.0;2018;6;"Agua y Extremos;Gobernanza e Interfaz Ciencia y Política";Extremos, Gobernanza;2.0;2018.0;;Sapiains, R., Ugarte, A., Aldunce, P.;;;;;Los significados de la participación para el cambio climático en Chile;Ambiente y Desarrollo;Vol.21 is.41;43-60;2.0;0;2;0.0;0.0;2.0;0.0;0.0;0.0;0.0;;0;0.0;;30;;;;;;70;PAI Conicyt;Ambiente y Desarrollo;0716-1476;ESCI – ISI;;;;;;;;Los significados de la participación para el cambio climático en Chile;10.11144/Javeriana.ayd21-41.spcc;10.11144/Javeriana.ayd21-41.spcc;The Meanings of Participation for Climate Change in Chile;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;10.11144/Javeriana.ayd21-41.spcc;{Australia, Chile};"{ Univ Queensland, Psychol Factors Environm Management, Brisbane, Qld, Australia;  Univ Chile, Acad, Santiago, Chile;  Univ Chile, Programa Estudios Latinoamer, Santiago, Chile;  Univ Melbourne, Social Sci & Nat Resources Management, Melbourne, Vic, Australia}";The Meanings of Participation for Climate Change in Chile;TRUE;0.0;0.0;2;;
271.0;2018;6;Zonas Costeras;Costas;1.0;2018.0;;Sepulveda-Jauregui, A., Martinez-Cruz, K., Lau, M., Casper, P.;;;;;Assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago;Freshwater Biology;Vol.63 is.12;1534-1549;1.0;0;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;0;0.0;;0;;;;;;100;-;Freshwater Biology;0046-5070;FRESHWATER BIOL;Ecology;34/158;21,52%;0.0;3,767;3,722;Q1;Assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago;10.1111/fwb.13182;10.1111/fwb.13182;Assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago;;2.0;0,67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;;;10.1111/fwb.13182;{Germany, Chile};"{Department of Experimental Limnology, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, Stechlin, Germany; Department of Sciences and Natural Resources, University of Magallanes, Punta Arenas, Chile; Center for Climate and Resilience Research (CR)2, University of Chile, Santiago, Chile; Department of Chemical Analytics and Biogeochemistry, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, Berlin, Germany}";Assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago;TRUE;1.0;1.0;2;2.0;
272.0;2018;6;Ciudades Resilientes;Ciudades;1.0;2018.0; Lambert, F.;Shaffer, G., Lambert, F.;;;;;In and out of glacial extremes by way of dust−climate feedbacks;Proceedings of the National Academy of Sciences;Vol.115 is.9;2026-2031;1.0;0;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50;0.0;;25;;;;;;25;-;Proceedings of the National Academy of Sciences;0027-8424;P NATL ACAD SCI USA;Multidisciplinary Sciences;5/64;7,81%;1.0;9,504;10,359;Q1;In and out of glacial extremes by way of dust−climate feedbacks;10.1073/pnas.1708174115;10.1073/pnas.1708174115;In and out of glacial extremes by way of dust-climate feedbacks;;2.0;0,67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;;;10.1073/pnas.1708174115;{Denmark, Chile};"{GAIA, Antartica Research Center, University of Magallanes, Punta Arenas, Chile; Niels Bohr Institute, University of Copenhagen, Copenhagen OE, 2100, Denmark; Department of Physical Geography, Pontifical Catholic University of Chile, Santiago, Chile; Center for Climate and Resilience Research, University of Chile, Santiago, Chile}";In and out of glacial extremes by way of dust−climate feedbacks;TRUE;1.0;1.0;3;3.0;
273.0;2018;6;Zonas Costeras;Costas;1.0;2018.0;;Toledo, F., Garrido, C., Díaz, M., Rondanelli, R., Jorquera, S., Valdivieso, P.;;;;;AOT Retrieval Procedure for Distributed Measurements With Low-Cost Sun Photometers: AOT RETRIEVAL METHOD FOR SUN PHOTOMETERS;Journal of Geophysical Research: Atmospheres;Vol.123 is.2;1113-1131;1.0;0;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;90;0.0;;10;;;;;;0;-;Journal of Geophysical Research: Atmospheres;2169-897X;J GEOPHYS RES-ATMOS;Meteorology & Atmospheric Sciences;18/86;20,93%;0.0;3,38;4,136;Q1;AOT Retrieval Procedure for Distributed Measurements With Low-Cost Sun Photometers: AOT RETRIEVAL METHOD FOR SUN PHOTOMETERS;10.1002/2017JD027309;10.1002/2017JD027309;AOT Retrieval Procedure for Distributed Measurements With Low-Cost Sun Photometers;;2.0;0,67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;;;10.1002/2017JD027309;{Chile};"{Electrical Engineering Department, Faculty of Physical and Mathematical Sciences, University of Chile, Santiago, Chile; Space and Planetary Exploration Laboratory, Faculty of Physical and Mathematical Sciences, University of Chile, Santiago, Chile; Department of Mechanical Engineering, Faculty of Physical and Mathematical Sciences, University of Chile, Santiago, Chile; Department of Geophysics, Faculty of Physical and Mathematical Sciences, University of Chile, Santiago, Chile; Center for Climate and Resilience Research, University of Chile, Santiago, Chile}";AOT Retrieval Procedure for Distributed Measurements With Low-Cost Sun Photometers;TRUE;0.0;1.0;5;5.0;
274.0;2018;6;Ciudades Resilientes;Ciudades;1.0;2018.0;;Urquiza A., Amigo, C., Billi M., Espinosa, P.;;;;;Participatory Energy Transitions as Boundary Objects: The Case of Chile's Energía2050;Frontiers in Energy Research;Vol.6;;3.0;2;1;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0;0.0;;70;;;;;;30;Fondo de Fortalecimiento de Productividad y Continuidad en Investigación (FPCI), Facultad de Ciencias Sociales, Universidad de Chile;Frontiers in Energy Research;2296-598X;ESCI – ISI;;;;;;;;Participatory Energy Transitions as Boundary Objects: The Case of Chile's Energía2050;10.3389/fenrg.2018.00134;10.3389/fenrg.2018.00134;Participatory Energy Transitions as Boundary Objects: The Case of Chile's Energia2050;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;10.3389/fenrg.2018.00134;{Sweden, Chile};"{Social Sciences Faculty, Universidad de Chile, Santiago, Chile; Centre for Climate and Resilience Research (CR)2, Santiago, Chile; Energy Poverty Network, Santiago, Chile; School of Government, Adolfo Ibáñez University, Santiago, Chile; Earth System Governance Project, Lund, Sweden}";Participatory energy transitions as boundary objects: The case of Chile's Energía2050;TRUE;0.0;1.0;4;4.0;
275.0;2018;6;Ciudades Resilientes;Ciudades;1.0;2018.0;Urquiza A., Billi M.;Urquiza A., Billi M.;;;;;Water markets and social–ecological resilience to water stress in the context of climate change: an analysis of the Limarí Basin, Chile;Environment, Development and Sustainability;inpress;inpress;2.0;1;1;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0;0.0;;80;;;;;;20;Beca Conicyt de doctorado;Environment, Development and Sustainability;1387-585X;ENVIRON DEV SUSTAIN;Green & Sustainable Science & Technology;25/33;75,76%;0.0;1,379;4,89;Q4;Water markets and social–ecological resilience to water stress in the context of climate change: an analysis of the Limarí Basin, Chile;10.1007/s10668-018-0271-3;;;;;;;;;;;;;;;;;10.1007/s10668-018-0271-3;{Chile};"{Centre for Climate and Resilience Research (CR)2 & Social Sciences Faculty, Universidad de Chile, Santiago, Chile; School of Government & Millennium Nucleus Models of Crisis, Universidad Adolfo Ibañez, Peñalolén, Chile}";Water markets and social–ecological resilience to water stress in the context of climate change: an analysis of the Limarí Basin, Chile;TRUE;0.0;0.0;;2.0;
276.0;2018;6;Ciudades Resilientes;Ciudades;1.0;2018.0;;Urquiza, A., Amigo, C., Billi, M., Bradao, G., Morales, B.,;;;;;Metalogue as a transdisciplinary collaboration tool;Cinta moebio;Vol.62;182-198;3.0;2;1;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0;0.0;;70;;;;;;30;15 VID, 15 CONICYT;Cinta moebio;0717-554X;ESCI – ISI;;;;;;;;Metalogue as a transdisciplinary collaboration tool;10.4067/S0717-554X2018000200182;10.4067/S0717-554X2018000200182;Metalogue as a transdisciplinary collaboration tool;;3.0;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;;;10.4067/S0717-554X2018000200182;{Brazil, Chile};"{Centro de Ciencia del Clima y la Resiliencia, Universidad de Chile, Santiago, Chile; Análisis Sistémico aplicado a la Sociedad, Universidad de Chile, Santiago, Chile; Escuela de Gobierno, Universidad Adolfo Ibáñez, Santiago, Chile; Núcleo de Innovación Tecnológica, Instituto Nacional de Investigaciones Espaciales, São José dos Campos, Brazil}";Metalogue as a transdisciplinary collaboration tool [Metálogo como herramienta de colaboración transdisciplinaria];TRUE;1.0;0.0;3;3.0;
277.0;2018;6;"Agua y Extremos;Cambio de Uso de Suelo ";Extremos, Suelo;2.0;2018.0;;Urrutia-Jalabert, R., González, M. E., González-Reyes, A., Lara, A., Garreaud, R.;;;;;Climate variability and forest fires in central and south-central Chile;Ecosphere;Vol.9 is.4;e02171;4.0;1;3;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;30;0.0;;30;;;;;;40;Seventh Framework Programme of the European Union;Ecosphere;2150-8925;ECOSPHERE;Ecology;55/158;34,81%;0.0;2,671;3,007;Q2;Climate variability and forest fires in central and south-central Chile;10.1002/ecs2.2171;10.1002/ecs2.2171;Climate variability and forest fires in central and south-central Chile;;7.0;2,33;0.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;0.0;;;10.1002/ecs2.2171;{Chile};"{Laboratorio de Dendrocronologia y Cambio Global, Instituto de Conservación, Biodiversidad y Territorio, Universidad Austral de Chile, Independencia 641, Valdivia, Chile; Center for Climate and Resilience Research (CR), 2 (squared), Blanco Encalada 2002, Santiago, Chile; Instituto de Ciencias de la Tierra, Facultad de Ciencias, Universidad Austral de Chile, Independencia 641, Valdivia, Chile; Departamento de Geofísica, Facultad de Ciencias Físicas y Matemáticas, Universidad de Chile, Blanco Encalada 2002, Santiago, Chile}";Climate variability and forest fires in central and south-central Chile;TRUE;0.0;0.0;4;4.0;
278.0;2018;6;Cambio de Uso de Suelo;Suelo;1.0;2018.0;Urrutia-Jalabert, R.;Urrutia-Jalabert, R., Peña, M. P. Coopman, R. E., Carvajal, D. E., Jiménez-Castillo, M., Lara, A., Cosimo, D., Lobos-Catalán, P.;;;;;Elucidating the hydraulic vulnerability of the longest-lived Southern Hemisphere conifer to aridification;Forest Ecology and Management;Vol.430;472-484;1.0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;80;0.0;;15;;;;;;5;-;Forest Ecology and Management;0378-1127;FOREST ECOL MANAG;Forestry;4/66;6,06%;1.0;3,169;3,524;Q1;Elucidating the hydraulic vulnerability of the longest-lived Southern Hemisphere conifer to aridification;10.1016/j.foreco.2018.08.027;10.1016/j.foreco.2018.08.027;Elucidating the hydraulic vulnerability of the longest-lived Southern Hemisphere conifer to aridification;;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;10.1016/j.foreco.2018.08.027;{Chile};"{Laboratorio de Dendrocronología y Cambio Global, Instituto de Conservación, Biodiversidad y Territorio, Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile, Valdivia, Chile; Centro de Ciencia del Clima y la Resiliencia, CR2, Santiago, Chile; Laboratorio de Ecofisiología para la Conservación de Bosques, Instituto de Conservación, Biodiversidad y Territorio, Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile, Valdivia, Chile; Departamento de Biología, Universidad de la Serena, La Serena, Chile; Instituto de Ecología y Biodiversidad (IEB), Santiago, Chile; Instituto de Ciencias Ambientales y Evolutivas, Facultad de Ciencias, Universidad Austral de Chile, Valdivia, Chile}";Elucidating the hydraulic vulnerability of the longest-lived Southern Hemisphere conifer to aridification;TRUE;0.0;1.0;6;6.0;
