N;Funding Year;Progress report;Name of Research Line;Research Lines;Lines Collaboration;Year Published;CR2 Authors;Authors;Issue;Volume;First page;Last page;Article Title;Journal;Volume Issue;Pages;CR2;NO RESEARCHERS;Researchers;Principal Researchers;Full time Researchers;Associate Researchers;Adjoint Researchers;Postdoc;Undergraduated Students;Graduated Students;REGIONAL;FONDECYT;FONDEF;PIA;FONDAP;PAI;EXPLORA;International Cooperation;Astronomia;Becas (PCHA);OTHER (specify);SPECIFY;Journal Name;ISSN;Name Check;Sub Category;Journal Rank;% Journal Rank;Is it top 10 in category;Journal Impact Factor;5 year Journal Impact Factor;Scimago Quartile;Copy for Cites Title;DOI;DOI WOS;WOS Title;Total Citations 2017;Total Citations;Average per Year;c2012;c2013;c2014;c2015;c2016;c2017;c2018;c2019;c2020;c2021;c2022;DOI AFF;AFF Countries;AFF Institutions;TI WOS;Control doi diff;Int collaboration;Nat collab;N° collaboration national WOS;N° collaboration national SCOPUS;File
1.0;2013;1;Servicios Ecosistémicos;ECO;1.0;2013.0;;Delgado-Baquerizo, M., Maestre, F. T., Gallardo, A., Bowker, M. A., Wallenstein, M. D., Quero, J. L., Gómez-González, S., … Zaady, E.;7473;502;;;Decoupling of soil nutrient cycles as a function of aridity in global drylands;Nature;vol.502 is.7473;672-676;1.0;0;1;;;;;;;;;;;;;;;;;;100;;Nature;0028-0836;NATURE;Multidisciplinary Sciences;1/69;1,45%;1.0;43,07;45,819;Q1;Decoupling of soil nutrient cycles as a function of aridity in global drylands;10.1038/nature12670;10.1038/nature12670;Decoupling of soil nutrient cycles as a function of aridity in global drylands;;274.0;34,25;0.0;1.0;20.0;33.0;44.0;43.0;66.0;64.0;3.0;;;10.1038/nature12670;{Brazil, Canada, Israel, Australia, Iran, Peru, Mexico, Tunisia, United States, Morocco, China, Ecuador, Chile, Kenya, Argentina, Venezuela, Spain};"{Departamento de Sistemas Físicos, Químicos y Naturales, Universidad Pablo de Olavide, Carretera de Utrera, kilómetro 1, 41013 Sevilla, Spain; Area de Biodiversidad y Conservación, Departamento de Biología y Geología, Universidad Rey Juan Carlos, Calle Tulipan Sin Numero, 28933 Mostoles, Spain; School of Forestry, Northern Arizona University, Flagstaff, AZ 86011, United States; Natural Resource Ecology Laboratory, Colorado State University, Fort Collins, CO 80523, United States; Departamento de Ingeniería Forestal,Campusde Rabanales Universidad de Córdoba, Carretera de Madrid, kilómetro 396, 14071 Córdoba, Spain; Department of Biology, Colorado State University, Fort Collins, CO 80523, United States; División de Ciencias Ambientales, Instituto Potosino de Investigación Científica y Tecnológica, San Luis Potosí, 78210, Mexico; Departamento de Biología, Universidad de la Serena, La Serena 599, 1700000, Chile; Instituto Nacional de Tecnología Agropecuaria, Estación Experimental San Carlos de Bariloche 277, Bariloche, Río Negro, 8400, Argentina; Universidad de Jaen, Departamento de Biología Animal, Biología Vegetal y Ecología, 23071 Jaen, Spain; Université de Sfax, Faculté des Sciences, Unité de Recherche Plant Diversity and Ecosystems in Arid Environments, Route de Sokra, kilomè tre 3.5, Boîte Postale 802, 3018 Sfax, Tunisia; Departamento de Ciências Biológicas, Universidade Estadual de Feira de Santana, Avenida Transnordestina Sin Número, Bairro Novo Horizonte, Feira de Santana, 44036-900, Brazil; Direction Regionale des Eaux et Forê Ts et de la Lutte Contre la de Sertification du Rif, Avenue Mohamed 5, Boîte Postale 722, 93000 Tétouan, Morocco; School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW 2052, Australia; Instituto de Ecología, Universidad Técnica Particular de Loja, San Cayetano Alto, Marcelino Champagnat, Loja, 11-01-608, Ecuador; Departamento de Biología, Facultad de Ciencias Exactas, Físicas y Naturales, Universidad Nacional de San Juan, Rivadavia, San Juan, J5402DCS, Argentina; Laboratorio de Genómica y Biodiversidad, Departamento de CienciasBásicas, Universidad Del Bío-Bío 447, Chillán, 3780000, Chile; Instituto de Edafología, Facultad de Agronomía, Ciudad Universitaria, Caracas, 1051, Venezuela; Facultad de Agronomía, Universidad Nacional de la Pampa, Casilla de Correo 300, 6300 Santa Rosa, La Pampa, Argentina; Laboratorio de Biogeoquímica, Centro de Agroecología Tropical, Universidad Experimental Simón Rodríguez, United States; Department of Range and Watershed Management, Faculty of Natural Resources and Environment, Ferdowsi University of Mashhad, Azadi Square, Mashhad 91775-1363, Iran; Institute of Grassland Science, Northeast Normal University and Key Laboratory of Vegetation Ecology, Ministry of Education, Changchun, Jilin Province 130024, China; Department of Biological Sciences, Northern Arizona University, PO Box 5640, Flagstaff, AZ 86011-5640, United States; Department of Evolution, Ecology and Organismal Biology, Ohio State University, 318 West 12th Avenue, Columbus, OH 43210, United States; Université du Québecà Montréal Pavillon des Sciences Biologiques, Département des Sciences Biologiques, 141 Président-Kennedy, Montré al, Québec H2X 3Y5, Canada; Production Systems and the Environment Sub-Program, International Potato Center., Apartado 1558, Lima 12, Peru; Department of Agronomy and Soil Science, School of Environmental and Rural Science, University of New England, Armidale, NSW 2351, Australia; Departamento de Química y Suelos, Decanato de Agronomía, Universidad Centroccidental ''lisandro Alvarado'', Barquisimeto 3001, Venezuela; Department of Agronomy and Natural Resources, Institute of Plant Sciences, Agricultural Research Organization, Volcani Center, Bet Dagan 50250, Israel; Office of Environment and Heritage, PO Box 363, Buronga, NSW 2739, Australia; Zoology Department, National Museums of Kenya, Ngara Road, Nairobi, 78420-00500, Kenya; Department of Natural Resources and Agronomy, Agriculture Research Organization, Ministry of Agriculture, Gilat Research Center, Mobile Post Negev 85280, Israel}";Decoupling of soil nutrient cycles as a function of aridity in global drylands;TRUE;1.0;1.0;2;2.0;
2.0;2013;1;Modelación y Sistemas de Observación;MOS;1.0;2013.0;;Eby, M., Weaver, A. J., Alexander, K., Zickfeld, K., Abe-Ouchi, A., Cimatoribus, A. A., Shaffer, G., … Zhao, F.;3;9;;;Historical and idealized climate model experiments: an intercomparison of Earth system models of intermediate complexity;Climate of the Past;vol.9 is.3;1111-1140;1.0;0;1;;;;;;;;;;;;;;;;;;100;;Climate of the Past;1814-9324;CLIM PAST;Geosciences, Multidisciplinary;41/196;20,92%;0.0;3,47;4,009;Q1;Historical and idealized climate model experiments: an intercomparison of Earth system models of intermediate complexity;10.5194/cp-9-1111-2013;10.5194/cp-9-1111-2013;Historical and idealized climate model experiments: an intercomparison of Earth system models of intermediate complexity;;93.0;11,63;0.0;8.0;12.0;9.0;15.0;21.0;17.0;11.0;0.0;;;10.5194/cp-9-1111-2013;{Canada, United States, Netherlands, Denmark, United Kingdom, Belgium, Germany, Chile, Russian Federation, Japan, Switzerland};"{School of Earth and Ocean Sciences, University of Victoria, Victoria, BC, Canada; Simon Fraser University, Vancouver, BC, Canada; Atmosphere and Ocean Research Institute, University of Tokyo, Kashiwa, Japan; Research Institute for Global Change, Japan Agency for Marine-Earth Science and Technology, Yokohama, Japan; Royal Netherlands Meteorological Institute, De Bilt, Netherlands; Georges Lemâtre Centre for Earth and Climate Research, Universit́e Catholique de Louvain, Louvain-La-Neuve, Belgium; Open University, Milton Keynes, United Kingdom; A. M. Obukhov Institute of Atmospheric Physics, RAS Moscow, Russian Federation; Potsdam Institute for Climate Impact Research, Potsdam, Germany; Pennsylvania State University, Pennsylvania, PA, United States; Climate and Environmental Physics, Physics Institute, University of Bern, Bern, Switzerland; Oeschger Centre for Climate Change Research, University of Bern, Bern, Switzerland; Ecosystems Center, MBL, Woods Hole, MA, United States; University of Minnesota, Minneapolis, Minnesota, MN, United States; Massachusetts Institute of Technology, Cambridge, MA, United States; Danish Meteorological Institute, Copenhagen, Denmark; National Space Institute, Technical University of Denmark, Kgs. Lyngby, Denmark; School of Geographical Sciences, University of Bristol, Bristol, United Kingdom; Department of Geophysics, University of Concepcion, Concepcion, Chile; Niels Bohr Institute, University of Copenhagen, Copenhagen, Denmark; National Centre for Atmospheric Science - Climate, University of Reading, Reading, United Kingdom; University of Maryland, College Park, Maryland, MO, United States}";Historical and idealized climate model experiments: An intercomparison of Earth system models of intermediate complexity;TRUE;1.0;0.0;1;1.0;
3.0;2013;1;Dinámica del Clima;CD;1.0;2013.0;;Flores, F., Garreaud, R., & Muñoz, R. C.;;82;;;CFD simulations of turbulent buoyant atmospheric flows over complex geometry: Solver development in OpenFOAM;Computers & Fluids;vol.82;672-676;2.0;1;1;;;;;;;1.0;;;;;;;;;;;100;;Computers & Fluids;0045-7930;COMPUT FLUIDS;Computer Science, Interdisciplinary Applications;36/104;34,62%;0.0;1,891;2,071;Q2;CFD simulations of turbulent buoyant atmospheric flows over complex geometry: Solver development in OpenFOAM;10.1016/j.compfluid.2013.04.029;10.1016/j.compfluid.2013.04.029;CFD simulations of turbulent buoyant atmospheric flows over complex geometry: Solver development in OpenFOAM;;26.0;3,25;0.0;1.0;1.0;3.0;0.0;9.0;7.0;5.0;0.0;;;10.1016/j.compfluid.2013.04.029;{Departamento de Geof, Chile};"{Departamento de Geof;sica, Universidad de Chile, Santiago, Chile}";CFD simulations of turbulent buoyant atmospheric flows over complex geometry: Solver development in OpenFOAM;TRUE;0.0;1.0;1;1.0;
4.0;2013;1;"Dinámica del Clima;Modelación y Sistemas de Observación";CD, MOS;2.0;2013.0;;Garreaud, R., Lopez, P., Minvielle, M., & Rojas, M.;1;26;;;Large-Scale Control on the Patagonian Climate;Journal of Climate;vol.26 is.1;1111-1140;2.0;0;2;;;;;;;;;;;;;;;;;;100;;Journal of Climate;0894-8755;J CLIMATE;Meteorology & Atmospheric Sciences;9/86;10,47%;0.0;4,805;5,922;Q1;Large-Scale Control on the Patagonian Climate;10.1175/JCLI-D-12-00001.1;10.1175/JCLI-D-12-00001.1;Large-Scale Control on the Patagonian Climate;;194.0;24,25;0.0;8.0;21.0;23.0;23.0;32.0;38.0;47.0;2.0;;;10.1175/JCLI-D-12-00001.1;{Chile};{Department of Geophysics, Universidad de Chile, Santiago, Chile};Large-scale control on the Patagonian climate;TRUE;0.0;1.0;1;1.0;
5.0;2013;1;Modelación y Sistemas de Observación;MOS;1.0;2013.0;;Glasow, R. von, Jickells, T. D., Baklanov, A., Carmichael, G. R., Church, T. M., Gallardo, L., … Zhu, T.;1;42;;;Megacities and Large Urban Agglomerations in the Coastal Zone: Interactions Between Atmosphere, Land, and Marine Ecosystems;AMBIO;vol.42 is.1;1-13;1.0;0;1;;;;;;;;;;;;;;;;;;100;;AMBIO;0044-7447;AMBIO;Environmental Sciences;59/251;23,51%;0.0;4,103;4,674;Q1;Megacities and Large Urban Agglomerations in the Coastal Zone: Interactions Between Atmosphere, Land, and Marine Ecosystems;10.1007/s13280-012-0343-9;10.1007/s13280-012-0343-9;Megacities and Large Urban Agglomerations in the Coastal Zone: Interactions Between Atmosphere, Land, and Marine Ecosystems;;52.0;6,5;0.0;1.0;5.0;5.0;3.0;13.0;14.0;11.0;0.0;;;10.1007/s13280-012-0343-9;{United States, Chile, Denmark, India, United Kingdom, China, Ireland, Greece, Japan, Norway};"{School of Environmental Sciences, University of East Anglia, Norwich NR4 7TJ, United Kingdom; Danish Meteorological Institute, Copenhagen, Denmark; Department of Chemical and Biochemical Engineering, University of Iowa, Iowa City, IA 52242, United States; School of Marine Science and Policy, University of Delaware, Newark, DE 19716-3501, United States; Departamento de Geofísica, Centro de Modelamiento Matemático, Universidad de Chile, Blanco Encalada 2002, Piso 4, Santiago, Chile; Environment Department, University of York, Heslington, York YO10 5DD, United Kingdom; Environmental Chemical Processes Laboratory, Department of Chemistry, University of Crete, P.O. Box 2208, 71003 Heraklion, Greece; Scottish Marine Institute, Scottish Association for Marine Science (SAMS), Oban, Argyll PA37 1QA, United Kingdom; Ryan Institute for Environmental, Marine and Energy Research, National University of Ireland, Galway, Ireland; Institute for Ocean Management, Anna University, Chennai 600 025, India; Center for Ecology and Economics (CEE), NILU-Norwegian Institute for Air Research, Instituttveien 18, 2007 Kjeller, Norway; Graduate School of Environmental Studies, Nagoya University, Furo-cho, Chikusa-ku, Nagoya 464-8601, Japan; Center for International Collaboration, Atmosphere and Ocean Research Institute, University of Tokyo, 5-1-5 Kashiwanoha, Kashiwa, Chiba 277-8564, Japan; State Key Laboratory for Environmental Simulation and Pollution Control, College of Environmental Sciences and Engineering, Peking University, Beijing 100871, China}";Megacities and large urban agglomerations in the coastal zone: Interactions between atmosphere, land, and marine ecosystems;TRUE;1.0;0.0;2;1.0;
6.0;2013;1;Modelación y Sistemas de Observación;MOS;1.0;2013.0;;Joos, F., Roth, R., Fuglestvedt, J. S., Peters, G. P., Enting, I. G., von Bloh, W., Shaffer, G., … Weaver, A. J.;5;13;;;Carbon dioxide and climate impulse response functions for the computation of greenhouse gas metrics: a multi-model analysis;Atmospheric Chemistry and Physics;vol.13 is.5;215-230;1.0;0;1;;;;;;;;;;;;;;;;;;100;;Atmospheric Chemistry and Physics;1680-7316;ATMOS CHEM PHYS;Meteorology & Atmospheric Sciences;6/84;7,14%;1.0;5,114;5,626;Q1;Carbon dioxide and climate impulse response functions for the computation of greenhouse gas metrics: a multi-model analysis;10.5194/acp-13-2793-2013;10.5194/acp-13-2793-2013;Carbon dioxide and climate impulse response functions for the computation of greenhouse gas metrics: a multi-model analysis;;222.0;27,75;0.0;8.0;24.0;29.0;32.0;43.0;49.0;36.0;1.0;;;10.5194/acp-13-2793-2013;{Canada, United States, Australia, Denmark, United Kingdom, Germany, Chile, Switzerland, New Zealand, Norway};"{Climate and Environmental Physics, Physics Institute, University of Bern, Bern, Switzerland; Oeschger Centre for Climate Change Research, University of Bern, Bern, Switzerland; Center for International Climate and Environmental Research - Oslo (CICERO), P.O. Box 1129 Blindern, 0318 Oslo, Norway; MASCOS, University of Melbourne, 139 Barry St, VIC 3010, Australia; Potsdam Institute for Climate Impact Research, P.O. Box 601203, 14412, Potsdam, Germany; Max Planck Institute for Meteorology, Bundesstr. 53, 20146 Hamburg, Germany; Met Office Hadley Centre, FitzRoy Road, Exeter, EX1 3PB, United Kingdom; School of Earth and Ocean Sciences, University of Victoria, Victoria, BC, Canada; Open University, Environment, Earth and Ecosystems, Milton Keynes, United Kingdom; International Pacific Research Center, School of Ocean and Earth Science and Technology, University of Hawaii, 1680 East-West Rd., Honolulu, HI, United States; AOS Program, Princeton University, Princeton, NJ, United States; Department of Oceanography, School of Ocean and Earth Science and Technology, University of Hawaii, Honolulu, HI, 96822, United States; Department of Earth Sciences, University of Minnesota, Minneapolis, MN, United States; School of Earth Sciences, University of Melbourne, VIC, Australia; New Zealand Agricultural Greenhouse Gas Research Centre, Palmerston North 4442, New Zealand; Department of Geophysics, University of Concepcion, Chile; Niels Bohr Institute, University of Copenhagen, Copenhagen, Denmark; Institute for Atmospheric and Climate Science, ETH Zurich, Zurich, Switzerland}";Carbon dioxide and climate impulse response functions for the computation of greenhouse gas metrics: A multi-model analysis;TRUE;1.0;0.0;1;1.0;
7.0;2013;1;Servicios Ecosistémicos;ECO;1.0;2013.0;;Labarca Encina, R., Pino, M., & Recabarren, O.;2;69;;;Los Lamini (Cetartiodactyla: Camelidae) extintos del yacimiento de Pilauco (Norpatagonia chilena): aspectos taxonómicos y tafonómicos preliminares;Estudios Geologicos;vol.69 is.2;13-28;1.0;0;1;;;;;;;;;;;;;;;;;;100;;Estudios Geologicos;0367-0449;ESTUD GEOL-MADRID;Geology;37/47;78,72%;0.0;0,658;0,606;Q4;Los Lamini (Cetartiodactyla: Camelidae) extintos del yacimiento de Pilauco (Norpatagonia chilena): aspectos taxonómicos y tafonómicos preliminares;10.3989/egeol.40862.219;10.3989/egeol.40862.219;The extinct Lamini (Cetartiodactyla: camelidae) from Pilauco site (Chilean north Patagonia): preliminary taxonomic and taphonomic features;;3.0;0,38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;;;10.3989/egeol.40862.219;{Chile};{Laboratorio de Paleoecología, Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Casilla 567, Valdivia, Chile};The extinct Lamini (Cetartiodactyla: Camelidae) from Pilauco site (Chilean north Patagonia): Preliminary taxonomic and taphonomic features [Los Lamini (Cetartiodactyla: Camelidae) extintos del yacimiento de Pilauco (Norpatagonia chilena): Aspectos taxonómicos y tafonómicos preliminares];TRUE;0.0;1.0;1;1.0;
8.0;2013;1;Servicios Ecosistémicos;ECO;1.0;2013.0;;Molina-Montenegro, M. A., Ricote-Martínez, N., Muñoz-Ramírez, C., Gómez-González, S., Torres-Díaz, C., Salgado-Luarte, C., & Gianoli, E.;3;24;;;Positive interactions between the lichen Usnea antarctica (Parmeliaceae) and the native flora in Maritime Antarctica;Journal of Vegetation Science;vol.24 is.3;2793-2825;1.0;0;1;;;;;;;;;;;;;;;;;;100;;Journal of Vegetation Science;1100-9233;J VEG SCI;Forestry;9/67;13,43%;0.0;2,944;3,392;Q1;Positive interactions between the lichen Usnea antarctica (Parmeliaceae) and the native flora in Maritime Antarctica;10.1111/j.1654-1103.2012.01480.x;10.1111/j.1654-1103.2012.01480.x;Positive interactions between the lichen Usnea antarctica (Parmeliaceae) and the native flora in Maritime Antarctica;;16.0;2;0.0;1.0;4.0;2.0;4.0;1.0;0.0;4.0;0.0;;;10.1111/j.1654-1103.2012.01480.x;{Chile};"{Centro de Estudios Avanzados en Zonas Áridas (CEAZA), Facultad de Ciencias del Mar, Universidad Católica del Norte, Larrondo, 1281, Coquimbo, Chile; Departamento de Ecología, Pontificia Universidad Católica de Chile, Santiago, Chile; Departamento de Zoología, Universidad de Concepción, Concepción, Chile; Departamento de Ciencias Básicas, Universidad del Bío-Bío, Chillan, Chile; Departamento de Biología, Universidad de La Serena, La Serena, Chile; Departamento de Botánica, Universidad de Concepción, Concepción, Chile; Center for Advanced Studies in Ecology and Biodiversity, P. Universidad Católica de Chile, Santiago, Chile}";Positive interactions between the lichen Usnea antarctica (Parmeliaceae) and the native flora in Maritime Antarctica;TRUE;0.0;1.0;7;7.0;
9.0;2013;1;Servicios Ecosistémicos;ECO;1.0;2013.0;;Pino, M., Chávez-Hoffmeister, M., Navarro-Harris, X., & Labarca, R.;;299;;;The late Pleistocene Pilauco site, Osorno, south-central Chile;Quaternary International;vol.299;255-269;1.0;0;1;;;;;;;;;;;;;;;;;;100;;Quaternary International;1040-6182;QUATERN INT;Geography, Physical;29/49;59,18%;0.0;2,163;2,488;Q3;The late Pleistocene Pilauco site, Osorno, south-central Chile;10.1016/j.quaint.2012.05.001;10.1016/j.quaint.2012.05.001;The late Pleistocene Pilauco site, Osorno, south-central Chile;;19.0;2,38;0.0;3.0;3.0;4.0;1.0;2.0;2.0;4.0;0.0;;;10.1016/j.quaint.2012.05.001;{United Kingdom, Argentina, Chile};"{Instituto de Ciencias Ambientales and Evolutivas, Universidad Austral de Chile, Valdivia, Chile; University of Bristol, School of Earth Sciences, United Kingdom; Departamento de Antropología, Universidad Católica de Temuco, Chile; Programa de Doctorado Universidad Nacional del Centro de la Provincia de Buenos Aires, Argentina}";The late Pleistocene Pilauco site, Osorno, south-central Chile;TRUE;1.0;1.0;2;2.0;
10.0;2013;1;Dinámica del Clima;CD;1.0;2013.0;;Power, M. J., Mayle, F. E., Bartlein, P. J., Marlon, J. R., Anderson, R. S., Behling, H., Moreno, P.I, … Walsh, M. K.;1;23;;;Climatic control of the biomass-burning decline in the Americas after ad 1500;The Holocene;vol.23 is.1;463-472;1.0;0;1;;;;;;;;;;;;;;;;;;100;;The Holocene;0959-6836;HOLOCENE;Geosciences, Multidisciplinary;64/184;34,78%;0.0;2,135;2,782;Q2;Climatic control of the biomass-burning decline in the Americas after ad 1500;10.1177/0959683612450196;10.1177/0959683612450196;Climatic control of the biomass-burning decline in the Americas after AD 1500;;59.0;7,38;1.0;8.0;9.0;12.0;5.0;5.0;10.0;9.0;0.0;;;10.1177/0959683612450196;{Canada, United Kingdom, France, United States, Germany, Chile, Switzerland};"{NHMU, Department of Geography, University of Utah, Salt Lake City, UT, United States; University of Edinburgh, United Kingdom; University of Oregon, United States; University of Wisconsin, United States; Northern Arizona University, United States; Georg-August University, Germany; Canadian Forest Service, Canada; École Pratique des Hautes Études, France; University of Bern, Switzerland; Biogeoscience Institute, University of Calgary, Canada; University of Tennessee, United States; Virginia Tech, United States; University of North Carolina Wilmington, United States; University of Wisconsin Oshkosh, United States; Universidad de Chile, Chile; Université Laval, Canada; Fordham College at Lincoln Center, United States; Central Washington University, United States}";Climatic control of the biomass-burning decline in the Americas after ad 1500;TRUE;1.0;0.0;1;1.0;
11.0;2013;1;Modelación y Sistemas de Observación;MOS;1.0;2013.0;;Rojas, M.;5;40;;;Sensitivity of Southern Hemisphere circulation to LGM and 4 × CO2 climates;Geophysical Research Letters;vol.40 is.5;3-12;1.0;0;1;;;;;;;;;;;;;;;;;;100;;Geophysical Research Letters;0094-8276;GEOPHYS RES LETT;Geosciences, Multidisciplinary;14/188;7,45%;1.0;4,253;4,579;Q1;Sensitivity of Southern Hemisphere circulation to LGM and 4 × CO2 climates;10.1002/grl.50195;10.1002/grl.50195;Sensitivity of Southern Hemisphere circulation to LGM and 4xCO2 climates;;26.0;3,25;0.0;0.0;3.0;3.0;5.0;2.0;8.0;5.0;0.0;;;10.1002/grl.50195;{Chile};{Department of Geophysics, University of Chile, Santiago, Chile};Sensitivity of Southern Hemisphere circulation to LGM and 4 × CO2 climates;TRUE;0.0;0.0;1;1.0;
12.0;2013;1;Modelación y Sistemas de Observación;MOS;1.0;2013.0;;Rojas, M., Li, L. Z., Kanakidou, M., Hatzianastassiou, N., Seze, G., & Treut, H. L.;3;41;;;Winter weather regimes over the Mediterranean region: their role for the regional climate and projected changes in the twenty-first century;Climate Dynamics;vol.41 is.3;3-13;1.0;0;1;;;;;;;;;;;;;;;;;;100;;Climate Dynamics;0930-7575;CLIM DYNAM;Meteorology & Atmospheric Sciences;8/84;9,52%;1.0;4,708;4,886;Q1;Winter weather regimes over the Mediterranean region: their role for the regional climate and projected changes in the twenty-first century;10.1007/s00382-013-1823-8;10.1007/s00382-013-1823-8;Winter weather regimes over the Mediterranean region: their role for the regional climate and projected changes in the twenty-first century;;18.0;2,25;0.0;0.0;2.0;2.0;5.0;2.0;4.0;3.0;0.0;;;10.1007/s00382-013-1823-8;{Greece, Chile, France};"{Department of Geophysics, University of Chile, Santiago, Chile; LMD/IPSL/CNRS, Université Paris 6, 4 place Jussieu, 75252 Paris Cedex 05, France; Environmental Chemical Processes Laboratory, Chemistry Department, University of Crete, 71003 Heraklion, Greece; Laboratory of Meteorology, Physics Department, University of Ioannina, 45110 Ioannina, Greece}";Winter weather regimes over the Mediterranean region: Their role for the regional climate and projected changes in the twenty-first century;TRUE;1.0;0.0;1;1.0;
13.0;2013;1;Servicios Ecosistémicos;ECO;1.0;2013.0;;Swanson, F. J., Jones, J. A., Crisafulli, C. M., & Lara, A.;2;40;;;Effects of volcanic and hydrologic processes on forest vegetation: Chaitén Volcano, Chile;Andean Geology;vol.40 is.2;965-970;1.0;0;1;;;;;;;;;;;;;;;;;;100;;Andean Geology;0718-7106;ANDEAN GEOL;Geology;13/47;27,66%;0.0;1,933;1,892;Q2;Effects of volcanic and hydrologic processes on forest vegetation: Chaitén Volcano, Chile;10.5027/andgeoV40n2-a10;10.5027/andgeoV40n2-a10;Effects of volcanic and hydrologic processes on forest vegetation: Chaiten Volcano, Chile;;29.0;3,63;0.0;2.0;2.0;5.0;7.0;5.0;1.0;6.0;1.0;;;10.5027/andgeoV40n2-a10;{United States, Chile};"{United States Forest Service, Pacific Northwest Research Station, 3200 Jefferson Way, Corvallis, OR 97331, United States; College of Earth, Ocean, and Atmospheric Sciences, Oregon State University, 104 EOAS Administration Building, Corvallis, OR 97331, United States; United States Forest Service, Pacific Northwest Research Station, 3625 93rd Ave SW, Olympia, WA, 98512, United States; Universidad Austral de Chile, Casilla 567, Isla Teja, Valdivia, Chile}";Effects of volcanic and hydrologic processes on forest vegetation: Chaitén Volcano, Chile [Efectos de los procesos volcánicos e hidrológicos sobre la vegetación forestal: El Volcán Chaitén, Chile];TRUE;1.0;0.0;1;1.0;
14.0;2013;1;Modelación y Sistemas de Observación;MOS;1.0;2013.0;;Zickfeld, K., Eby, M., Weaver, A. J., Alexander, K., Crespin, E., Edwards, N. R., Shaffer, G., … Zhao, F.;16;26;;;Long-Term Climate Change Commitment and Reversibility: An EMIC Intercomparison;Journal of Climate;vol.26 is.16;551-571;1.0;0;1;;;;;;;;;;;;;;;;;;100;;Journal of Climate;0894-8755;J CLIMATE;Meteorology & Atmospheric Sciences;7/84;8,33%;1.0;4,85;5,449;Q1;Long-Term Climate Change Commitment and Reversibility: An EMIC Intercomparison;10.1175/JCLI-D-12-00584.1;10.1175/JCLI-D-12-00584.1;Long-Term Climate Change Commitment and Reversibility: An EMIC Intercomparison;;113.0;14,13;0.0;6.0;17.0;24.0;19.0;19.0;18.0;10.0;0.0;;;10.1175/JCLI-D-12-00584.1;{Canada, United Kingdom, Denmark, United States, Russian Federation, Germany, Chile, Belgium, Japan, Switzerland};"{Department of Geography, Simon Fraser University, 8888 University Drive, Burnaby, BC V5A1S6, Canada; School of Earth and Ocean Sciences, University of Victoria, Victoria, BC, Canada; Earth and Life Institute, Georges Lemaître Centre for Earth and Climate Research, Université Catholique de Louvain, Louvain-La-Neuve, Belgium; The Open University, Milton Keynes, United Kingdom; A. M. Obukhov Institute of Atmospheric Physics, RAS, Moscow, Russian Federation; Potsdam Institute for Climate Impact Research, Potsdam, Germany; The Pennsylvania State University, University Park, PA, United States; University of Exeter, Exeter, United Kingdom; Physics Institute, University of Bern, Bern, Switzerland; Research Institute for Global Change, JAMSTEC, Yokohama, Japan; The Ecosystems Center, MBL, Woods Hole, MA, United States; University of Minnesota, Minneapolis, MN, United States; Massachusetts Institute of Technology, Cambridge, MA, United States; Danish Meteorological Institute, Copenhagen, Denmark; National Space Institute, Technical University of Denmark, Kongens Lyngby, Denmark; School of Geographical Sciences, University of Bristol, Bristol, United Kingdom; Department of Geophysics, University of Concepcion, Concepcion, Chile; University of Tokyo, Tokyo, Japan; University of Maryland, College Park, College Park, MD, United States; Niels Bohr Institute, University of Copenhagen, Copenhagen, Denmark; Oeschger Centre for Climate Change Research, University of Bern, Bern, Switzerland}";Long-Term climate change commitment and reversibility: An EMIC intercomparison;TRUE;1.0;0.0;1;1.0;
15.0;2013;1;Dinámica del Clima;CD;1.0;2014.0;;Aguirre, C., Garreaud, R., & Rutllant, J. A.;;65;;;Surface ocean response to synoptic-scale variability in wind stress and heat fluxes off south-central Chile;Dynamics of Atmospheres and Oceans;vol.65;359-391;1.0;0;1;;;;;;;;;;;;75;;;;;;25;;Dynamics of Atmospheres and Oceans;0377-0265;DYNAM ATMOS OCEANS;Meteorology & Atmospheric Sciences;68/86;79,07%;0.0;1,219;1,405;Q4;Surface ocean response to synoptic-scale variability in wind stress and heat fluxes off south-central Chile;10.1016/j.dynatmoce.2013.11.001;10.1016/j.dynatmoce.2013.11.001;Surface ocean response to synoptic-scale variability in wind stress and heat fluxes off south-central Chile;;14.0;2;0.0;0.0;0.0;1.0;1.0;3.0;3.0;6.0;0.0;;;10.1016/j.dynatmoce.2013.11.001;{Chile};"{Departamento de Geofísica, Universidad de Chile, Blanco Encalada 2002, Santiago, Chile; Centro de Estudios Avanzados en Zonas Áridas (CEAZA), Raúl Bitrán s/n, Colina El Pino, La Serena, Chile}";Surface ocean response to synoptic-scale variability in wind stress and heat fluxes off south-central chile;TRUE;0.0;1.0;2;2.0;
